"","Federal Protected Areas","Cluster number"
"Alto Golfo de California y Delta del Ro Colorado","Alto Golfo de California y Delta del Ro Colorado",1
"Zona marina Baha de los ngeles, canales de Ballenas y de Salsipuedes","Zona marina Baha de los ngeles, canales de Ballenas y de Salsipuedes",1
"Can de Santa Elena","Can de Santa Elena",1
"C.A.D.N.R. 001 Pabelln","C.A.D.N.R. 001 Pabelln",1
"C.A.D.N.R. 004 Don Martn","C.A.D.N.R. 004 Don Martn",1
"C.A.D.N.R. 026 Bajo Ro San Juan","C.A.D.N.R. 026 Bajo Ro San Juan",1
"Campo Verde","Campo Verde",1
"Cerro de la Silla","Cerro de la Silla",1
"Constitucin de 1857","Constitucin de 1857",1
"El Pinacate y Gran Desierto de Altar","El Pinacate y Gran Desierto de Altar",1
"El Vizcano","El Vizcano",1
"Janos","Janos",1
"La Michila","La Michila",1
"Maderas del Carmen","Maderas del Carmen",1
"Mapim","Mapim",1
"Mdanos de Samalayuca","Mdanos de Samalayuca",1
"Ocampo","Ocampo",1
"Papigochic","Papigochic",1
"Sierra de San Pedro Mrtir","Sierra de San Pedro Mrtir",1
"Sierra La Laguna","Sierra La Laguna",1
"Sierra La Mojonera","Sierra La Mojonera",1
"Tutuaca","Tutuaca",1
"Valle de los Cirios","Valle de los Cirios",1
"Baha de Loreto","Baha de Loreto",1
"Cuatrocinegas","Cuatrocinegas",1
"Cumbres de Monterrey","Cumbres de Monterrey",1
"Islas Maras","Islas Maras",1
"La porcin norte y la franja costera oriental, terrestres y marinas de la Isla de Cozumel","La porcin norte y la franja costera oriental, terrestres y marinas de la Isla de Cozumel",1
"Cerro Mohinora","Cerro Mohinora",1
"Islas del Pacfico de la Pennsula de Baja California","Islas del Pacfico de la Pennsula de Baja California",1
"Bavispe","Bavispe",1
"Sierra de lvarez","Sierra de lvarez",1
"Gogorrn","Gogorrn",1
"Bala'an K'aax","Bala'an K'aax",2
"Calakmul","Calakmul",2
"Can del Usumacinta","Can del Usumacinta",2
"Chan-Kin","Chan-Kin",2
"Lacan-Tun","Lacan-Tun",2
"Lagunas de Montebello","Lagunas de Montebello",2
"Montes Azules","Montes Azules",2
"Otoch Ma'ax Yetel Kooh","Otoch Ma'ax Yetel Kooh",2
"Palenque","Palenque",2
"Ra Lagartos","Ra Lagartos",2
"Volcn Tacan","Volcn Tacan",2
"Yaxchiln","Yaxchiln",2
"Yum Balam","Yum Balam",2
"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, ngel Albino Corzo, Villa Flores y Jiquipilas","Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, ngel Albino Corzo, Villa Flores y Jiquipilas",2
"El Triunfo","El Triunfo",2
"La Encrucijada","La Encrucijada",2
"La Sepultura","La Sepultura",2
"Laguna de Trminos","Laguna de Trminos",2
"Ra Celestn","Ra Celestn",2
"Los Petenes","Los Petenes",2
"Los Tuxtlas","Los Tuxtlas",2
"Pantanos de Centla","Pantanos de Centla",2
"Selva El Ocote","Selva El Ocote",2
"Sian Ka'an","Sian Ka'an",2
"Uaymil","Uaymil",2
"Can del Ro Blanco","Can del Ro Blanco",3
"C.A.D.N.R. 043 Estado de Nayarit","C.A.D.N.R. 043 Estado de Nayarit",3
"Cerro de Garnica","Cerro de Garnica",3
"Cerro de La Estrella","Cerro de La Estrella",3
"Chamela-Cuixmala","Chamela-Cuixmala",3
"Cofre de Perote o Nauhcampatpetl","Cofre de Perote o Nauhcampatpetl",3
"Corredor Biolgico Chichinautzin","Corredor Biolgico Chichinautzin",3
"El Jabal","El Jabal",3
"El Tepozteco","El Tepozteco",3
"Grutas de Cacahuamilpa","Grutas de Cacahuamilpa",3
"Iztacchuatl-Popocatpetl","Iztacchuatl-Popocatpetl",3
"La Primavera","La Primavera",3
"Lagunas de Zempoala","Lagunas de Zempoala",3
"Los Mrmoles","Los Mrmoles",3
"La Montaa Malinche o Matlalcuyatl","La Montaa Malinche o Matlalcuyatl",3
"Marismas Nacionales Nayarit","Marismas Nacionales Nayarit",3
"Meseta de Cacaxtla","Meseta de Cacaxtla",3
"Pico de Orizaba","Pico de Orizaba",3
"Pico de Tanctaro","Pico de Tanctaro",3
"Sierra de lamos-Ro Cuchujaqui","Sierra de lamos-Ro Cuchujaqui",3
"Sierra de Huautla","Sierra de Huautla",3
"Sierra del Abra Tanchipa","Sierra del Abra Tanchipa",3
"Sierra Gorda de Guanajuato","Sierra Gorda de Guanajuato",3
"Volcn Nevado de Colima","Volcn Nevado de Colima",3
"Xicotncatl","Xicotncatl",3
"Zicuirn-Infiernillo","Zicuirn-Infiernillo",3
"Z.P.F.V. la Cuenca Hidrogrfica del Ro Necaxa","Z.P.F.V. la Cuenca Hidrogrfica del Ro Necaxa",3
"Nevado de Toluca","Nevado de Toluca",3
"Sierra Gorda","Sierra Gorda",3
"Mariposa Monarca","Mariposa Monarca",3
"Bosencheve","Bosencheve",3
"Boquern de Tonal","Boquern de Tonal",3
"Laguna Madre y Delta del Ro Bravo","Laguna Madre y Delta del Ro Bravo",3
"Barranca de Metztitln","Barranca de Metztitln",3
"Sierra de Manantln","Sierra de Manantln",3
"Tehuacn-Cuicatln","Tehuacn-Cuicatln",3
"Z.P.F.T.C.C. de los ros Valle de Bravo, Malacatepec, Tilostoc y Temascaltepec","Z.P.F.T.C.C. de los ros Valle de Bravo, Malacatepec, Tilostoc y Temascaltepec",3
"Sierra de Tamaulipas","Sierra de Tamaulipas",3
"Sierra de Quila","Sierra de Quila",3
"Islas del Golfo de California","Islas del Golfo de California",3
